nombre,numero de opiniones,puntuacion sobre 5,ranking,precio,tipos de cocina,dietas especiales,ubicaciones,puntuaciones desglosadas,Unnamed: 9
Arthur’s Pizzeria,1,"5,0",6.681,,"['Italiana', ' Pizza', ' Mediterránea', ' Española']",,"C. Manola y Rosario, 22, 28021 Madrid España","['0', '0', '0', '0', '1']",
Mayur,1,"5,0",6.700,,"['India', ' Asiática', ' Nepalí']",,"Avenida De Europa, 27, 28023 Madrid España","['0', '0', '0', '0', '1']",
Martino´s,17,"3,5",6.701,,"['Mediterránea', ' Española']",,"Calle Zaida 83, 28019 Madrid España","['3', '2', '0', '4', '8']",
Hideout Burger,1,"5,0",6.702,,,,"Calle de Génova, 9, 28004 Madrid España","['0', '0', '0', '0', '1']",
la bodeguita de chamberi,16,"3,5",6.703,"['7', '16']","['Española', ' Pub', ' Pub restaurante', ' Bar', ' Comedor']","['Abierto hasta tarde', ' Bebidas', ' Desayuno', ' Comidas', ' Cenas', ' Brunch']","Calle de Luchana, 37, 28010 Madrid España","['2', '2', '3', '6', '3']",
De Hogao,1,"5,0",6.704,,['Reservas'],,"C. del Pergamino, 26, 28032 Madrid España","['0', '0', '0', '0', '1']",
Bar El Ensanche,1,"5,0",6.705,"['5', '20']","['Bar', ' Café', ' Española', ' Europea']","['Desayuno', ' Comidas', ' Brunch', ' Bebidas']","C/cabeza De Mesada 19, 28031 Madrid España","['0', '0', '0', '0', '1']",
"Divinium, vinos & cafés",1,"5,0",6.705,,['Mediterránea'],,"José Arcones Gil, 8, 28017 Madrid España","['0', '0', '0', '0', '1']",
O'cebreiro,2,"4,5",125,"['5', '15']","['Mexicana', ' Americana', ' Mediterránea', ' Española']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","O'CEBREIRO Calle de Dolores Ibarruri 7, 28100 Alcobendas España","['0', '0', '0', '1', '1']",
Confortel Alcala Norte Restaurant,16,"3,5",6.726,,['Cenas'],,"Calle San Romualdo 30, 28037 Madrid España","['0', '2', '4', '4', '2']",
Empanadas Malvón Pinar de Chamartín,1,"5,0",6.727,,"['Comidas', ' Cenas']",,"C. de Caleruega, 19, 28033 Madrid España","['0', '0', '0', '0', '1']",
Restaurante El Exquisito,11,"3,5",6.728,"['20', '45']",['Española'],"['Comidas', ' Cenas']","Calle de Martina Diaz 4, 28050 Madrid España","['1', '1', '4', '1', '3']",
La perla asturiana,1,"5,0",6.730,,['Española'],,"Calle Lagasca 12, 28001 Madrid España","['0', '0', '0', '0', '1']",
Aroma Cafe,2,"4,5",6.729,,"['Café', ' Comida rápida']",,"Calle Ferraz No 77, 28008 Madrid España","['0', '0', '0', '1', '1']",
Franca,1,"5,0",124,,['Pizza'],,"Avenida De Europa 2 2, 28224 Pozuelo de Alarcón España","['0', '0', '0', '0', '1']",
La Tabernita del Medio,3,"4,5",120,,"['Bar', ' Pub']",,"C/ Ministro Fernández Ordóñez,4 Local 6, 28924 Alcorcón España","['0', '0', '0', '1', '2']",
El Rincón de Conchi,5,"4,0",6.732,,,,"Calle de Jaen 42, 28020 Madrid España","['0', '0', '2', '2', '1']",
El 3,1,"5,0",6.752,,['Española'],,"Calle Leopoldo Alas Clarín 51, 28035 Madrid España","['0', '0', '0', '0', '1']",
Don Latas,6,"3,5",6.753,,"['Bar', ' Pub']",,"Calle General Alvarez de Castro 24, 28010 Madrid España","['0', '2', '1', '0', '3']",
Hemu Sushi,4,"3,5",6.755,,,,"C. de los Jardines, 3, 28013 Madrid España","['0', '0', '2', '0', '1']",
Aloha Poké Ciudad Lineal,1,"5,0",6.754,"['9', '14']","['Comida rápida', ' Internacional', ' Asiática', ' Saludable', ' Hawaiana']","['Comidas', ' Cenas', ' Bebidas']","Calle Alcalá 462, 28027 Madrid España","['0', '0', '0', '0', '1']",
Cafetería parra's,4,"4,0",81,"['2', '20']",['Española'],,"Calle de Bilbao n 2, 28914 Leganés España","['1', '0', '0', '0', '3']",
Flor de Primavera,15,"3,5",6.756,,"['China', ' Asiática']",,"Calle Bravo Murillo 54, 28003 Madrid España","['1', '0', '6', '3', '2']",
Farah Bagdad  Restaurante,20,"3,5",6.757,,"['De Oriente Medio', ' Marroquí']",,"Calle Virgen de Lourdes 42, 28027 Madrid España","['2', '1', '3', '9', '4']",
Rodilla,53,"3,5",6.758,,"['Café', ' Comida rápida', ' Española']",,"Plaza Chueca 1, 28004 Madrid España","['7', '3', '12', '12', '8']",
El Palentino,17,"3,5",6.780,,"['Mediterránea', ' Española']",,"Calle del Pez, 8, 28004 Madrid España","['1', '4', '4', '4', '2']",
El Pikon 2,31,"3,0",6.778,,"['Española', ' Mediterránea']",,"El Pikon 2 Avenida Peseta 68, 28054 Madrid España","['9', '3', '1', '9', '9']",
Merinas,1,"5,0",6.781,,"['Bar', ' Café', ' Española', ' Pub']",,"C. Alférez Juan Usera, 42 Colonia Del Tercio Terol, 28019 Madrid España","['0', '0', '0', '0', '1']",
O'Touxeiro,11,"3,5",6.782,,"['Mediterránea', ' Española']",,"Calle Gainza 315, 28041 Madrid España","['3', '1', '1', '1', '5']",
Pau's Blissful Bakery,6,"3,5",6.783,,"['Café', ' Comida rápida', ' Española', ' Sudamericana', ' Colombiana']",,"Calle de la Hacienda de Pavones 174 Local 3, 28030 Madrid España","['2', '0', '0', '0', '4']",
Bar Barroso,2,"4,5",6.784,,"['Bar', ' Española', ' Pub']",,"Vía Carpetana, 28047 Madrid España","['0', '0', '0', '1', '1']",
Bar Cafeterie La Isabel,5,"3,5",95,,['Española'],,"Plaza de la Iglesia 10, 28701 San Sebastián de los Reyes España","['1', '0', '1', '1', '2']",
Meson Benavente,2,"5,0",6.785,"['3', '15']","['Mediterránea', ' Española']","['Bebidas', ' Desayuno', ' Comidas', ' Cenas']","Calle del Capitan Blanco Argibay 52, 28029 Madrid España","['0', '0', '0', '0', '2']",
El Gallo,27,"3,5",6.806,,"['Mediterránea', ' Española']",,"Calle Mahonia, 2 Campo de las Naciones, 28043 Madrid España","['5', '5', '3', '4', '9']",
TSH Madrid Restaurant & Bar,1,"5,0",6.807,,,,"Cuesta de San Vicente 28, 28008 Madrid España","['0', '0', '0', '0', '1']",
Asador Papi chicken,1,"5,0",6.808,,"['Latina', ' Comida rápida', ' Española', ' Asador']",,"Calle de Mota del Cuervo, 17, 28043 Madrid España","['0', '0', '0', '0', '1']",
Mar de Copas,6,"3,5",6.809,,['Española'],,"Calle del Marqués de Viana, 18, 28039 Madrid España","['1', '0', '1', '2', '2']",
Armando Tapas,1,"5,0",6.810,,['Española'],,"Avenida de Brasil 3, 28020 Madrid España","['0', '0', '0', '0', '1']",
Teppanyaki Sushi -bar,11,"3,5",6.811,,"['Sushi', ' Asiática']",,"Calle Conde de Penalver 55, 28006 Madrid España","['1', '0', '4', '2', '4']",
Té Jazmín,1,"5,0",6.812,,"['China', ' Asiática']",,"Avenida Camino De Santiago 1, 28050 Madrid España","['0', '0', '0', '0', '1']",
Jordan Gala Restaurante Cafe Bar,10,"3,5",6.813,,"['Mediterránea', ' Española']",,"Calle Gran Avenida 7 Orcasitas, 28041 Madrid España","['3', '0', '0', '1', '6']",
Makkila de Príncipe de Vergara,13,"3,0",6.830,,"['Mediterránea', ' Contemporánea']",,"Calle del Príncipe de Vergara 204, 28002 Madrid España","['2', '3', '1', '4', '3']",
Empanadas Malvón,1,"5,0",6.831,,['Argentina'],,"Calle Del Gasómetro 11, 28005 Madrid España","['0', '0', '0', '0', '1']",
El Capricho,11,"4,0",6.832,"['5', '20']","['Española', ' Saludable', ' Mediterránea']",['Reservas'],"Calle Eguilaz, 1, 28010 Madrid España","['1', '1', '1', '3', '5']",
Pizzería Brooklyn,2,"4,5",6.833,,['Pizza'],,"Calle Áncora, 19, 28045 Madrid España","['0', '0', '0', '1', '1']",
Ochenta Grados Montecarmelo,14,"3,5",6.834,,['Española'],,"Av Monasterio De El Escorial 26, 28049 Madrid España","['3', '3', '0', '3', '5']",
NoLiTa bar,5,"4,0",115,"['10', '70']","['Española', ' Pub', ' Pub restaurante']","['Abierto hasta tarde', ' Bebidas']","Carretera De Pozuelo, 48 Central Commercial La Bolsa, Local 6, 28220 Majadahonda España","['0', '0', '2', '2', '1']",
The Mex - Kitchen Bar,1,"5,0",6.835,,"['Mexicana', ' Bar', ' Pub', ' Bares para comer']",,"Carretera De Canillas 138, Madrid España","['0', '0', '0', '0', '1']",
Casa Santi,12,"3,5",128,,"['Mediterránea', ' Española']",,"Marqués De La Valdavia, 110, 28100 Alcobendas España","['3', '1', '1', '3', '4']",
Compás,6,"3,5",129,,['Comidas'],,"Calle de Anabel Segura, 11, 28108 Alcobendas España","['0', '1', '2', '1', '2']",
Restaurante Esmeralda,4,"4,0",6.854,,,,"Camino Ganapanes 1, 28035 Madrid España","['0', '0', '0', '4', '0']",
Bar-Restaurante Marqués Madrid,5,"3,5",6.855,"['8', '25']",['Española'],['Reservas'],"Calle del Marques de Urquijo 24, 28008 Madrid España","['0', '1', '2', '0', '2']",
Restaurante Pizzería Nápoles,1,"5,0",123,"['4', '19']",['Pizza'],"['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Abierto hasta tarde', ' Bebidas']","Calle Jaboneria 54, 28921 Alcorcón España","['0', '0', '0', '0', '1']",
Mercado Provenzal,20,"3,5",85,,"['Bar', ' Española', ' Pub']",,"Calle Madrid 109, 28902 Getafe España","['2', '2', '7', '5', '4']",
Almau Fusion,1,"5,0",6.856,,"['Internacional', ' Española']",,"Calle Palas Del Rey 26, 28050 Madrid España","['0', '0', '0', '0', '1']",
Ya Sushi - Coslada,2,"4,0",55,,,,"Calle del Dr. Michavila, 18, 28821 Coslada España","['0', '0', '0', '2', '0']",
Sabor Porteño,6,"3,5",6.857,"['3', '10']","['Restaurante de carne', ' Argentina']","['Comidas', ' Cenas']","Calle Montera 7 Puerta del Sol, 28013 Madrid España","['2', '0', '0', '0', '4']",
TAO 3·6·9,6,"3,5",6.877,,['Asiática'],,"C/ Méndez Álvaro 70 Local 2-3, 28045 Madrid España","['0', '0', '4', '1', '1']",
El 22 de San Marcos,2,"5,0",6.878,,,,"22 Calle San Marcos, 28002 Madrid España","['0', '0', '0', '0', '2']",
Chic & Trick Bar-restaurante,1,"5,0",6.879,,"['Café', ' Española', ' Asador', ' Sudamericana', ' Colombiana']",,"Calle Cristo De La Victoria 49 Usera, 28026 Madrid España","['0', '0', '0', '0', '1']",
,8,"4,0",.º 6881,,"['Desayuno', ' Comidas', ' Cenas']",,"Calle Velazquez 126, 28006 Madrid España","['1', '0', '1', '2', '3']",
Panaria,1,"5,0",6.880,"['3', '50']","['Café', ' Mediterránea']",,"PANARIA Calle Bravo Murillo 144, 28039 Madrid España","['0', '0', '0', '0', '1']",
Restaurante O'Ribeiriño,48,"3,0",6.882,"['5', '35']","['Española', ' Mediterránea']","['Cenas', ' Desayuno', ' Comidas']","Paseo Imperial 89, 28005 Madrid España","['10', '8', '5', '9', '13']",
Urban Grill,3,"3,5",6.883,,,,"Aeropuerto Madrid. Terminal 1. Planta 1. Salidas Puertas Embarque B21-B25, 28042 Madrid España","['0', '0', '0', '1', '0']",
Poke Okey,2,"4,5",6.884,,['Japonesa'],,"Calle Claudio Coello 122, 28006 Madrid España","['0', '0', '0', '1', '1']",
Albor,1,"5,0",6.902,,"['Europea', ' Española']",,"Paseo de Extremadura 37, 28011 Madrid España","['0', '0', '0', '0', '1']",
Brasa y Lena,56,"3,5",88,,"['Brasileña', ' Restaurante de carne', ' Sudamericana']",,"Avenida Rio Guadalquivir, 13 Centro Comercial Nassica, 28906 Getafe España","['17', '6', '1', '5', '26']",
Bodeguita Donde Siempre,15,"3,5",6.903,,"['Mediterránea', ' Española']",,"Calle Cavanilles 40, 28007 Madrid España","['4', '0', '2', '4', '5']",
CAFETERIA ATLANTA,3,"4,5",86,,['Española'],,"Avenida Mar Mediterraneo 8, 28918 Leganés España","['0', '0', '0', '2', '0']",
La Excéntrica,203,"3,0",6.904,"['15', '25']","['Mediterránea', ' Europea', ' Española', ' Internacional']",['Opciones vegetarianas'],"D Calle de las Fuentes de San Jorge 10, 28032 Madrid España","['32', '32', '34', '53', '29']",
Café La Botica,1,"5,0",6.905,"['3', '10']",['Española'],,"Calle Botica 7, 28042 Madrid España","['0', '0', '0', '0', '1']",
Go Sushing Acacias,1,"5,0",6.905,,"['Japonesa', ' Asiática']",,"Paseo De Las Acacias 29 Restaurante Japones, 28005 Madrid España","['0', '0', '0', '0', '1']",
llaollao,1,"5,0",6.907,,['Saludable'],,"Plaza Del Emperador Carlos V, 10, 28012 Madrid España","['0', '0', '0', '0', '1']",
Xanela,11,"3,5",88,,"['Reservas', ' Servicio de mesa', ' Capacidad']",,"Calle Salvaleon 8, 28918 Leganés España","['3', '1', '1', '2', '4']",
Bodega Salvaje Goya,1,"5,0",6.927,,"['Mediterránea', ' Restaurantes de cerveza']",,"Fuente Del Berro 33, 28009 Madrid España","['0', '0', '0', '0', '1']",
Tapas 44,44,"3,0",6.928,"['2', '12']","['Mediterránea', ' Española']","['Bebidas', ' Desayuno', ' Comidas', ' Cenas']","Juan Bravo, 28, 28006 Madrid España","['8', '2', '13', '10', '6']",
Donde Justo,1,"5,0",6.929,"['10', '30']",['Española'],,"Calle de La Virgen de Aranzazu 9, 28034 Madrid España","['0', '0', '0', '0', '1']",
Finca El Chaparral,8,"4,0",128,,['Internacional'],,"Finca La Escorzonera s/n, 28023 Pozuelo de Alarcón España","['2', '0', '0', '2', '3']",
Vamos Al Indio,22,"3,5",6.930,"['11', '25']",['India'],['Cenas'],"Calle de Almansa, 89 Metro Guzmán el Bueno, 28040 Madrid España","['6', '2', '2', '1', '9']",
Bar Teide,10,"3,5",6.931,,"['Española', ' Bar', ' Pub']",,"Calle Delicias, n°2, 28045 Madrid España","['0', '0', '5', '5', '0']",
Hatari Club,1,"5,0",129,,['Europea'],,"Calle Oslo 1 Local 2, 28224 Pozuelo de Alarcón España","['0', '0', '0', '0', '1']",
Borosa,1,"5,0",6.950,,['Española'],,"Rodriguez San Pedro 66, 28055 Madrid España","['0', '0', '0', '0', '1']",
Honest Greens Caleido,3,"4,5",6.951,,['Saludable'],,"Paseo de la Castellana, 259 E- L511, 28046 Madrid España","['0', '1', '0', '1', '0']",
Mondo Gastrobar,1,"5,0",6.952,,"['Caribeña', ' Latina', ' Internacional', ' Española', ' Cubana']",,"Calle De La Alameda 8 Local Bajo Izquierda, 28014 Madrid España","['0', '0', '0', '0', '1']",
Parrilla Bonalma,5,"3,5",6.953,,,,"Avenida De Los Rosales, 16, 28021 Madrid España","['0', '1', '1', '2', '1']",
El Pinchito restaurante bar,117,"3,0",6.954,"['8', '55']",['Española'],"['Comidas', ' Bebidas']","Calle Constancia 48, 28002 Madrid España","['22', '13', '26', '27', '24']",
Scissors Sistah,2,"4,0",6.956,,,,"Calle del Ave María, 8, 28012 Madrid España","['0', '0', '1', '0', '0']",
Cariño Llego Tarde,1,"5,0",6.955,,"['Bar', ' Europea', ' Española', ' Pub', ' Comedor']",,"Calle del Puerto de Maspalomas 10, 28029 Madrid España","['0', '0', '0', '0', '1']",
Viena Capellanes,1,"5,0",6.957,,"['Bar', ' Café', ' Española', ' Pub']",,"Génova, 4, 28001 Madrid España","['0', '0', '0', '0', '1']",
Bar Yago,1,"5,0",6.975,,['Española'],,"Calle Oña 21, 28050 Madrid España","['0', '0', '0', '0', '1']",
El Mirador,1,"5,0",128,,"['Bar', ' Pub']",,"Plaza Torres Bellas 5, Alcorcón España","['0', '0', '0', '0', '1']",
Barbados Vinos Y Tapas,1,"5,0",6.976,,['Española'],,"Calle De Narciso Serra, 34, 28007 Madrid España","['0', '0', '0', '0', '1']",
Boca Grande Madrid,2,"4,5",6.978,"['6', '20']","['Italiana', ' Latina', ' Española']","['Comidas', ' Cenas', ' Bebidas']","Calle Fernan Gonzalez 36 Bajo Izquierda, 28009 Madrid España","['0', '0', '0', '1', '1']",
Lafita Catering España,3,"3,5",6.977,,,,"Avenida Cardenal Herrera Oria,303, 28035 Madrid España","['1', '0', '0', '0', '2']",
Empanadas Malvón,1,"5,0",129,,['Argentina'],,"Hipercor San José de Valderas-Alcorcón, 28945 Alcorcón España","['0', '0', '0', '0', '1']",
Pizza Hut,1,"5,0",6.979,,,,"Calle Antonio Pérez, 26, 28002 Madrid España","['0', '0', '0', '0', '1']",
El Horno,1,"5,0",6.979,,"['Café', ' Europea', ' Tienda gourmet', ' Comedor']",,"Julián Camarillo, 29, Madrid España","['0', '0', '0', '0', '1']",
Sou Sushi,3,"4,0",120,"['10', '15']","['Japonesa', ' Sushi', ' Asiática', ' Comedor']","['Comidas', ' Cenas', ' Brunch']","Av. de los Reyes Católicos Loca 8, 28220 Majadahonda España","['0', '1', '0', '0', '2']",
Kebab a Domicilio,11,"3,5",90,,"['Turca', ' Comida rápida']",,"Calle Cataluña 26 local, 28903 Getafe España","['1', '1', '2', '4', '3']",
Cafetería Restaurante Río Dany,10,"3,5",6.998,,['Española'],,"Calle de Arturo Soria 305, 28033 Madrid España","['2', '2', '0', '2', '4']",
Real Fried Chicken,1,"5,0",6.999,"['10', '20']","['Americana', ' Comida rápida', ' Saludable']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Galeria Vallehermoso 4, 28003 Madrid España","['0', '0', '0', '0', '1']",
Chino Central,18,"3,5",7.000,,"['China', ' Asiática']",,"Calle de Palencia 4, 28020 Madrid España","['3', '0', '6', '4', '4']",
DKañas Bar de Tapas,1,"5,0",7.001,,"['Venezolana', ' Sudamericana']",,"Calle Benito Gutierrez 5, 28008 Madrid España","['0', '0', '0', '0', '1']",
La Antigua 1913 | Valdebebas,1,"5,0",7.002,"['10', '40']","['Española', ' Restaurante de carne', ' Café', ' Mediterránea', ' Asador']","['Desayuno', ' Comidas', ' Cenas']","Av. De Juan Antonio Samaranch 83, 28055 Madrid España","['0', '0', '0', '0', '1']",
Terraza,2,"4,5",7.003,,['Española'],,"Avenida Manoteras 20 Hotel Barcelo Castellana Norte, 28050 Madrid España","['0', '0', '0', '1', '1']",
Doner Kebap Istanbul,9,"3,5",7.026,,['Turca'],,"Calle del Arenal 18, 28013 Madrid España","['1', '1', '3', '2', '2']",
Rodilla,10,"3,0",131,,"['Comidas', ' Cenas']",,"Calle Edgar Neville s/n Kinépolis Ciudad de la Imagen., 28223 Pozuelo de Alarcón España","['1', '2', '3', '2', '2']",
Orient,101,"3,0",7.027,,"['China', ' Japonesa', ' Asiática', ' Sushi']",,"Calle Leganitos 37, 28013 Madrid España","['19', '13', '16', '23', '8']",
Restaurante Casa Vazquez,5,"4,0",7.028,,['Española'],,"Calle Amadeo Fernandez 1, 28021 Madrid España","['0', '0', '2', '2', '1']",
Churrería San José,2,"4,0",7.029,"['2', '5']","['Café', ' Mediterránea', ' Española']","['Desayuno', ' Comidas', ' Brunch', ' Bebidas']","Calle De La Oca 78, 28025 Madrid España","['0', '0', '1', '0', '1']",
Bar Restaurante Rubio,4,"4,0",7.030,"['7', '35']","['Café', ' Mediterránea', ' Española']","['Desayuno', ' Comidas', ' Cenas']","Calle Zaida, 62, 28019 Madrid España","['0', '0', '2', '1', '1']",
El Fogon Asturiano,71,"3,0",7.031,,['Española'],,"Calle de Alcala 337, 28027 Madrid España","['24', '4', '7', '13', '22']",
Taberna De Maria,8,"3,5",7.032,,['Mediterránea'],,"Avenida Mediterraneo 2, 28970 Madrid España","['2', '0', '1', '2', '3']",
Restaurante El Conquistador,15,"3,5",7.050,,"['Mediterránea', ' Española']",,"Jaime El Conquistador, Nº 13, 28045 Madrid España","['3', '0', '3', '5', '4']",
Artemisa Cafe,1,"5,0",7.053,"['2', '12']","['Mediterránea', ' Española', ' Europea']","['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Abierto hasta tarde', ' Bebidas']","Calle De Carabaña 5 Local 2, 28045 Madrid España","['0', '0', '0', '0', '1']",
Burger King,2,"4,0",7.054,,,,"Plaza de Sta. Barbara, 7, 28004 Madrid España","['0', '0', '1', '0', '1']",
Albedrío Taberna,4,"3,5",7.052,"['5', '30']","['Mediterránea', ' Española', ' Fusión', ' Fusión japonesa']","['Comidas', ' Cenas', ' Bebidas']","C. de Narváez, 48, 28009 Madrid España","['1', '0', '1', '0', '1']",
El Farol De Jacinta,9,"3,5",7.055,,"['Española', ' Asiática', ' Venezolana', ' Sudamericana']",,"C/fortunata Y Jacinta 21, 28020 Madrid España","['2', '0', '0', '0', '5']",
El Rincón,6,"4,0",122,,['Mediterránea'],,"Calle San Andrés, 3, 28220 Majadahonda España","['1', '1', '0', '0', '4']",
Casa Moraleda Madrid,1,"5,0",7.056,,,,"Calle de Agastia, 46, 28027 Madrid España","['0', '0', '0', '0', '1']",
Restaurante Atlantika,1,"5,0",7.057,,,,"Calle Océano Atlántico, 19, 28523 Madrid España","['0', '0', '0', '0', '1']",
El Tarantin,2,"4,5",7.074,,"['Marisco', ' Mediterránea', ' Tienda gourmet', ' Saludable']",,"Calle Santa Isabel 5, 28012 Madrid España","['0', '0', '0', '1', '1']",
Palacio de Oriente,3,"3,5",7.075,,['China'],,"Calle de Fernández de la Hoz, 78, 28003 Madrid España","['0', '0', '0', '0', '2']",
Foster's Hollywood,16,"3,5",7.076,,['Americana'],,"C.C. Las Rosas de San Blas. Avenida de Guadalajara, 2 C.C. Las Rosas de San Blas, 28032 Madrid España","['4', '1', '3', '3', '5']",
Restaurante Asiatico Sol,15,"3,0",91,,"['China', ' Sushi', ' Asiática', ' Tailandesa']",,"Avenida Reina Sofia 28, 28919 Leganés España","['4', '1', '3', '2', '5']",
La Cita Dos Castillas,1,"5,0",133,,,,"Vía de las Dos Castillas, 9B, 28224 Pozuelo de Alarcón España","['0', '0', '0', '0', '1']",
Sushi Sensei,3,"3,5",7.077,"['16', '30']","['China', ' Japonesa', ' Sushi', ' Asiática']","['Comidas', ' Cenas', ' Bebidas']","C. de Concepción Jerónima, 28, 28012 Madrid España","['0', '0', '0', '0', '2']",
Tinglao,18,"3,0",7.078,,['Pizza'],,"Calle Ponzano 35, 28003 Madrid España","['4', '3', '2', '3', '5']",
MásQMenos,128,"3,0",7.079,,['Española'],,"Aeropuerto Madrid-Barajas. Terminal 4. Planta 1. Salidas Zona De Embarque J, 28042 Madrid España","['16', '13', '15', '30', '11']",
La Lune Madrid,1,"5,0",7.099,,['Francesa'],,"Fernando Poo, 28045 Madrid España","['0', '0', '0', '0', '1']",
Paellitas Tradición,13,"4,0",7.100,,"['Mediterránea', ' Española']",,"Calle Santa Engracia 43, 28010 Madrid España","['2', '0', '0', '2', '9']",
La Abuela Aleja,1,"5,0",7.101,,"['Peruana', ' Sudamericana']",,"Calle Olvido, 25, 28026 Madrid España","['0', '0', '0', '0', '1']",
Mr Bagel,2,"4,0",7.102,,,,"Ronda de Atocha, 5, 28012 Madrid España","['0', '0', '0', '2', '0']",
DILEK´S,3,"3,5",7.103,,"['Española', ' Turca']",,"Calle Lope De Venga 6, 28014 Madrid España","['1', '0', '0', '0', '2']",
Volapié,30,"3,0",7.104,,"['Mediterránea', ' Española']",,"Ferrocarril 16, Madrid España","['8', '7', '0', '3', '11']",
Mario Pizza Lavapies,1,"5,0",7.105,,['Italiana'],,"Calle Sombrerete 17, 28012 Madrid España","['0', '0', '0', '0', '1']",
KFC Nassica,35,"3,0",91,,['Comida rápida'],,"Calle Rio Guadalquivir 15 Centro Comercial Nassica, 28906 Getafe España","['5', '5', '11', '7', '4']",
Restaurante Dolmen De Axeitos,34,"3,0",7.123,,"['Mediterránea', ' Española']",,"Calle del Tranvía de Arganda, 18-16 Vallecas, 28031 Madrid España","['11', '1', '5', '6', '11']",
La Redonda Tortillas,10,"3,5",135,"['9', '28']","['Mediterránea', ' Española']","['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Abierto hasta tarde', ' Bebidas']","Av. De Europa 25, 28224 Pozuelo de Alarcón España","['3', '1', '0', '2', '3']",
López & López Pizza Bar,3,"3,5",7.124,"['9', '14']","['Italiana', ' Pizza', ' Internacional', ' Europea']","['Comidas', ' Cenas']","Calle De Loreto Y Chicote, 3, 28004 Madrid España","['1', '0', '0', '0', '2']",
El B,5,"4,0",60,"['5', '35']",['Española'],,"Calle del Ocho de Marzo 2, 28821 Coslada España","['1', '0', '0', '0', '4']",
Gerla,1,"5,0",136,,"['Bar', ' Pub']",,"Plaza De La Hispanidad, 7, 28921 Alcorcón España","['0', '0', '0', '0', '1']",
Bar Café Cáceres 48,2,"4,0",135,,"['Bar', ' Pub']",,"Calle Cáceres, 48, 28922 Alcorcón España","['0', '0', '0', '2', '0']",
Restaurante El Portón,12,"3,5",7.125,,['Española'],,"Calle Cuevas de Altamira 40 Casi Esq con Av. de la Peseta, 28054 Madrid España","['3', '0', '1', '4', '4']",
Restaurante Alegria,30,"3,0",7.126,,"['China', ' Asiática']",,"Calle Canarias, 62, 28045 Madrid España","['6', '1', '5', '10', '6']",
VIPS Smart Kinepolis,4,"3,5",136,,['Mediterránea'],,"Calle Edgar Neville, 1 C.C. Kinepolis, 28223 Pozuelo de Alarcón España","['0', '0', '3', '0', '1']",
Bar Duque,3,"4,5",7.147,,"['Americana', ' Internacional', ' Mediterránea']",,"Calle Maldonado 14, 28006 Madrid España","['0', '0', '0', '2', '1']",
Casa Castelló,8,"3,5",7.148,,['Reservas'],,"Calle de Castelló, 1, 28001 Madrid España","['0', '1', '2', '2', '2']",
Siempre 52,1,"5,0",7.149,"['2', '11']","['Italiana', ' Española']","['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Abierto hasta tarde', ' Bebidas']","Calle de Isaac Peral, 52, 28040 Madrid España","['0', '0', '0', '0', '1']",
Dolce Vita,7,"3,5",7.150,,['Americana'],,"Calle Domingo Malagon N 3, 28982 Madrid España","['1', '0', '3', '1', '2']",
Restaurante Lupita,273,"3,0",7.151,,['Peruana'],,"Calle Gran Via 73, 28013 Madrid España","['63', '18', '38', '81', '34']",
Restaurante Cafeteria Tres Olivos,15,"3,5",7.152,"['8', '25']","['Española', ' Mediterránea']",['Brunch'],"Plaza Tres Olivos 1, 28034 Madrid España","['4', '0', '2', '4', '5']",
Melius,1,"5,0",138,,"['Bar', ' Pub']",,"Avenida las Retamas, 54, 28922 Alcorcón España","['0', '0', '0', '0', '1']",
Rodilla,1,"5,0",49,"['3', '10']",['Café'],"['Desayuno', ' Comidas', ' Cenas']","Plaza de la Constitución Dentro del C.C. Rivas Centro, local 3, 28522 Vaciamadrid España","['0', '0', '0', '0', '1']",
Matto,3,"3,5",7.171,,['Italiana'],,"Calle Hermanos Bécquer, 5, 28006 Madrid España","['1', '0', '0', '0', '1']",
Sabor Cantones,4,"3,5",7.172,"['10', '15']",['China'],,"Calle de Antonio Grilo 12, 28015 Madrid España","['0', '0', '1', '0', '2']",
Pizzashop,1,"5,0",7.173,,,,"PIZZASHOP Calle de Lopez de Hoyos 135, 28002 Madrid España","['0', '0', '0', '0', '1']",
Cafe y Pan,1,"5,0",7.173,"['3', '10']","['Café', ' Internacional', ' Española']","['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Bebidas']","Calle de Alcalá 257, 28027 Madrid España","['0', '0', '0', '0', '1']",
Makkila Almagro,27,"3,0",7.175,,"['Mediterránea', ' Europea', ' Española']",,"Calle Almagro 22, 28010 Madrid España","['6', '2', '6', '6', '5']",
Maluca,37,"3,0",7.176,,"['Latina', ' Mediterránea', ' Española', ' Asiática']",,"Avenida De La Peseta, 64, 28054 Madrid España","['7', '9', '3', '7', '9']",
El Paso Doble,7,"3,5",7.177,,,,"Calle Elfo 78, 28027 Madrid España","['1', '1', '1', '1', '3']",
Mehman Khana,1,"5,0",7.195,,,,"Calle de Caravaca, 12, 28012 Madrid España","['0', '0', '0', '0', '1']",
