nombre,numero de opiniones,puntuacion sobre 5,ranking,precio,tipos de cocina,dietas especiales,ubicaciones,puntuaciones desglosadas,Unnamed: 9
Shambala Lounge Cafe,29,"5,0",1492,"['2', '11']",['Bebidas'],"['Reservas', ' Capacidad', ' Servicio de mesa']","Calle Reina 1, Madrid España","['0', '0', '0', '1', '24']",
Deli Peppe,48,"5,0",1493,"['5', '25']","['Italiana', ' Venezolana', ' Siciliana', ' Del sur de Italia', ' Pizza', ' Sudamericana']","['Opciones vegetarianas', ' Opciones veganas']","Calle Virgen de la Alegria 10 Mercado de Las Ventas, Planta 1, Local 128, 28027 Madrid España","['1', '0', '1', '3', '43']",
Restaurante Morgana,972,"4,5",132,"['15', '25']","['Mediterránea', ' Europea', ' Española', ' Contemporánea', ' Fusión', ' Saludable']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Calle de la Libertad 5, 28004 Madrid España","['4', '3', '28', '88', '530']",
Meet,105,"4,0",8,"['30', '120']","['Mediterránea', ' Española']","['Comidas', ' Cenas', ' Bebidas']","Calle del Alcalde Jesus Prieto, 3, 28907 Getafe España","['5', '5', '11', '25', '56']",
National Archaeological Museum,44,"4,5",1494,,['Europea'],,"FEEDBACK_FIELD_KEY_ISSUE_TYPE Calle de Serrano 13, 28001 Madrid España","['0', '0', '0', '3', '22']",
Terracotta Madrid,59,"4,5",1495,,"['Mediterránea', ' Española', ' Saludable', ' Europea']",,"Calle Velazquez, 80, 28001 Madrid España","['3', '2', '3', '7', '37']",
Tran Tran,79,"4,5",1496,,"['Barbacoa', ' Española', ' Restaurante de carne']",,"Avenida Logrono 323, 28042 Madrid España","['2', '0', '4', '21', '39']",
nonsolocaffé,192,"4,0",1520,"['15', '22']","['Italiana', ' Mediterránea', ' Europea', ' Toscana', ' Romana', ' Del Lacio', ' Del centro de Italia']","['Opciones vegetarianas', ' Opciones veganas']","Rios Rosas, 52, 28003 Madrid España","['13', '9', '14', '64', '62']",
Trattoria Popolare Fratelli Figurato,148,"4,0",1521,,"['Italiana', ' Pizza', ' Europea', ' Napolitana', ' De Campania', ' Del sur de Italia', ' Mediterránea']",,"Calle Larra, 13, 28004 Madrid España","['13', '8', '10', '35', '57']",
Taqueria del Alamillo,720,"3,5",1522,"['20', '39']","['Mexicana', ' Latina', ' Centroamericana']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Plaza Alamillo 8, 28005 Madrid España","['87', '69', '97', '192', '234']",
Perretxico Chueca,64,"4,0",1775,,"['Comedor', ' Española']",,"Calle Augusto Figueroa 32 Chueca, 28004 Madrid España","['6', '2', '2', '11', '39']",
Quintoelemento,110,"4,0",1523,"['50', '100']","['Sushi', ' Asiática', ' Internacional', ' Mediterránea', ' Fusión', ' Sudamericana']","['Cenas', ' Comidas', ' Abierto hasta tarde', ' Bebidas']","Calle Atocha 125 Séptima Planta., 28012 Madrid España","['12', '7', '6', '8', '66']",
