Entre Suspiro y Suspiro;478;4;405;['15', '40'];['Mexicana', ' Latina'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Canos del Peral 3, 28013 Madrid España;['13', '19', '55', '132', '219'];
BIZZO! Moncloa;166;4,5;406;['5', '18'];['Italiana', ' Pizza', ' Europea', ' Mediterránea'];['Opciones vegetarianas', ' Opciones veganas'];Andrés Mellado, 77, 28003 Madrid España;['4', '2', '7', '26', '111'];
Benares Madrid;622;4;407;['19', '55'];['India'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Zurbano nº5, 28010 Madrid España;['24', '29', '67', '127', '295'];
La Catapa;623;4,5;409;nan;['Mediterránea', ' Europea', ' Española', ' Saludable'];nan;Calle Menorca, 14, 28009 Madrid España;['15', '20', '47', '183', '292'];
Aloha Poké Goya;83;5;408;['10', '15'];['Saludable', ' Hawaiana', ' Comida rápida', ' Internacional'];['Opciones veganas', ' Opciones sin gluten'];Avenida de Felipe II No 8, 28009 Madrid España;['0', '1', '2', '10', '64'];
Doppelgänger;158;4,5;432;['8', '30'];['Internacional', ' Fusión'];['Comidas', ' Cenas', ' Bebidas'];Calle de Santa Isabel 5 Mercado de Antón Martín - 1ª planta, 28012 Madrid España;['1', '5', '8', '22', '105'];
Domo Abascal;272;4,5;433;nan;['Mediterránea', ' Europea', ' Española'];nan;Calle de Jose Abascal 47, 28003 Madrid España;['1', '5', '14', '69', '160'];
Gustos Madrid Plaza Mayor;648;4,5;434;['10', '30'];['Mediterránea', ' Europea', ' Española', ' Catalana'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Plaza Mayor 8, 28005 Madrid España;['5', '4', '15', '42', '129'];
Venta El Buscon;1885;4;435;['12', '26'];['Bar', ' Mediterránea', ' Española'];['Opciones sin gluten'];Calle Victoria 5, 28012 Madrid España;['45', '26', '96', '258', '372'];
Pasta Mito;221;4,5;436;nan;['Italiana', ' Mediterránea', ' Europea'];nan;Calle Bolivia 9 Mercado de Chamartin, 28016 Madrid España;['2', '3', '16', '40', '137'];
Trattoria La Tavernetta;326;4,5;437;nan;['Italiana', ' Mediterránea', ' Europea', ' Siciliana', ' Del sur de Italia'];nan;Calle Orellana 17, 28004 Madrid España;['14', '7', '24', '81', '159'];
Arallo Taberna Madrid;366;4;438;nan;['Mediterránea', ' Europea', ' Española'];nan;Calle Reina 31, 28004 Madrid España;['14', '15', '36', '118', '152'];
Hddn Premium Mixology & Cuisine;47;5;461;['60', '150'];['Bar', ' Fusión'];['Cenas', ' Abierto hasta tarde', ' Bebidas'];Plaza de Puerta Cerrada 7, 28005 Madrid España;['0', '0', '0', '0', '43'];
MACERA;330;4,5;462;['2', '7'];['Pub'];['Bebidas'];Calle San Mateo, 21, 28004 Madrid España;['9', '9', '21', '87', '162'];
